Simulation, 10, Num of Nodes, 12
Block Height, Block Hash, Time Stamp, Received Time Stamp, Extra Bits
1, 0x00043473f3232ce115e0bfe116b321d7c9b308b607e87fa05fd3375602973d46, 1701149045898, 1701149046822, 0.0552556005
2, 0x00022492290e68f303e6641192fe53d52467fe61841849d8536182cbbaa717e9, 1701149048240, 1701149048269, 1.0277907338
3, 0x0002f9af66da4bd22846325f046e6a26abb21a43425cf7db845af8a7dbbec8db, 1701149050134, 1701149050162, 0.5542741362
4, 0x0000b16c56342ad5c5db9273f35cfb92142143ac295131749b50398ec2573533, 1701149050314, 1701149050346, 2.6562743384
5, 0x000061ba6f90e9a1f25d4830735daf1c9b1f605d1933879a4b75ecd73dfd55b5, 1701149052299, 1701149052322, 3.5166211476
6, 0x000069ef34e70725a87b10b6ee2f40c5eeae3089b4718e3bcffa3869e5217fc0, 1701149054319, 1701149054363, 3.4002977659
7, 0x0003c419f90217ee0e2c45c0db955653c09547a89d5a9bfad5f83854626db765, 1701149056724, 1701149056754, 0.2142839556
8, 0x0002637c2a4f8d118738b7c16bcc66043a76a8f38b7d47a48b688b510afeea56, 1701149059958, 1701149059988, 0.8711517721
9, 0x0000a3f872baebd1a790763e5f5c1199472f613c41d3b58b06e4b68fc77f67a2, 1701149060221, 1701149060246, 2.7700326420
10, 0x0002cb87e38f694ecd9b42301b0083c2921ccf40b350a7466b71174293d757f3, 1701149061629, 1701149061664, 0.6444550286
11, 0x0002772d25f503896c97a2f036b4a2b3c04990d697d3458b117e8d2dea449322, 1701149066243, 1701149066273, 0.8254257571
12, 0x00025b08d85e9d0eb7dd342ddf8e87b3b4dd10d98021b429c0319d1e6e64ad95, 1701149066409, 1701149066439, 0.8912282646
13, 0x000297f84e75e971942408cee2ad6a1b50bf31034fed00d19793f9706d4e743d, 1701149067216, 1701149067259, 0.7523509866
14, 0x0002fdd18f4b046c0aa0915fd002bf801db3ad1b1a921270550644321daa33d6, 1701149067763, 1701149067794, 0.5464662432
15, 0x0001d93e8762a712bdba1d922470ca3f9419e720297e33020c76fc3f025a767f, 1701149068492, 1701149068543, 1.2408839428
16, 0x00010c343214c9437477964c35aa3b5c143c7a220c134c126cb06f1533a2e365, 1701149069477, 1701149069512, 2.0601387723
17, 0x0002e9c47673f7efa6d6203b18cc1b52ace3b2cf3f1ffffcbd103df0e81c3fb3, 1701149070525, 1701149070569, 0.5847431337
18, 0x0002ce1ac520211aeed167d2bbd3d96f73321d72191ba2650f47e5a7dde0a894, 1701149070680, 1701149070710, 0.6392749853
19, 0x00015ca2900fb0293e39f38b46a17f51a5c584f3c8a281f9997f5f8027b6f9be, 1701149072276, 1701149072312, 1.6817514746
20, 0x000026d79ff069b257cb89f3bb89fefd2f9180bb114dcc8746f1346c59a72f77, 1701149077697, 1701149077729, 4.8477689799
21, 0x000017d8f676ca7d66b26cf5a1c8636b6eb947b55b12aa3ef4dd212b2ccb9951, 1701149078464, 1701149078512, 5.5515583425
22, 0x0001d732643cc4d00a76b226439169693b008e09ee67da46d68f8aceab4c3914, 1701149079052, 1701149079090, 1.2471390598
23, 0x0003e8acc8f1f2a9e1776b61543e4d237947ac1fa7a63cd7af88d83fb7b5cc02, 1701149079107, 1701149079155, 0.1605674292
24, 0x0003a0d3d8e4537d6be0227da8888249f573b6322d80335e0632730683be0e61, 1701149079968, 1701149080011, 0.2680581990
25, 0x000402d0d42a5b7051105fd6d57431af28251997baf8a70d9fdd1464d8dc85e6, 1701149080386, 1701149080443, 0.1233635226
26, 0x000373f7433f41cd52619dc6f9328d22bd95c4c8132d78e71f0ac16e82a2e279, 1701149081679, 1701149081714, 0.3394782621
27, 0x0003a0d8711998cae21f52cc08adb71cfd8d374c0775509c6f4a6430e085dec4, 1701149082360, 1701149082398, 0.2680303225
28, 0x00010e4c88629e6285af7e3e788e273e12ba861a4fc8cac8561cfc54e8dec72a, 1701149082890, 1701149082929, 2.0489129899
29, 0x0000cae25597eaabb619edc5f97e0ab266904866287e52e35884d2f5ce7fd286, 1701149083365, 1701149083404, 2.4628129923
30, 0x000002c4b0b6c29f001aa9538b844e1f85f1bb22ea5d9dc81efe42f995939e98, 1701149083604, 1701149083641, 8.6583136503
31, 0x0002de2ca9db356baac53026b6eea5e71ab8bb4eecce4477f3e0827cb43be505, 1701149084626, 1701149084662, 0.6073459888
32, 0x00045b9c53489d22f8f65aaafcca5755a4fe1572fdb0544d329af1926a66c9dd, 1701149085596, 1701149085619, 0.0037072285
33, 0x000194a08ba66b62cfb42876c5e2b2b24e88bf15fe177cdf3badc5119c9b3325, 1701149086037, 1701149086084, 1.4668758718
34, 0x000413d6f31d45ad215d6fb1530dbfb3760a4514592f10d9330206018f9ee7bb, 1701149086411, 1701149086450, 0.0996407305
35, 0x00006b3a172b07c6e06eaf655cee7ce10caac133e40c2da24f3864e345fcac3f, 1701149087794, 1701149087829, 3.3828018345
36, 0x00003faa99cefb8ef76a7ea80345c729f20369cc7aa80e46a9e3068c4303cb3d, 1701149089394, 1701149089432, 4.1348646214
37, 0x00043af2975b405164d5813428985300063b07829ca398958bc5dd4ca7e7dfc4, 1701149089472, 1701149089515, 0.0465773680
38, 0x00003be88b64b2673bee2e2682fb77b85a7a6ad4cdb507616c5b9e7f967141e7, 1701149089759, 1701149089808, 4.2226392760
39, 0x00038647255978d82e4fdfbb094b5babd50936b6132cf6a8b82083be572f4d93, 1701149090548, 1701149090585, 0.3098970587
40, 0x0001d136706100a9b079fca516cc891fcd0b7a0671a44307fe06055e7fee229a, 1701149093323, 1701149093366, 1.2655785960
41, 0x00015a37648712e6014f20eed468ea6a8338ee4770a798aa1c2261d225814686, 1701149093461, 1701149093503, 1.6917949573
42, 0x0004332a15e882516946206a5c86b0ecc059c52c796e2761de9361ba9e8f8322, 1701149093961, 1701149093979, 0.0569835647
43, 0x0003567e92a88eb32653a1ebf2c4ec9d128dc55dde5b1d1d78c615def6294f9a, 1701149095300, 1701149095346, 0.3883978501
44, 0x000215613f1b64f1213b3787da2b16d6ff4157d2eb2da759d88942070f461c01, 1701149097250, 1701149097265, 1.0683055542
45, 0x0002f704e040fe92891cdd18066e47b762171954ed0427ade937cf724de6adf6, 1701149100705, 1701149100745, 0.5593328408
46, 0x0002efbadf4b5228a9a9f40b21e4c03ad36e50449b4950d7a70307c8eb5f8395, 1701149102524, 1701149102574, 0.5732544081
47, 0x00016c27b7bb6792bd80db3786a1f3bed9539b28e807ceec1f1863f0c52b0f53, 1701149103476, 1701149103533, 1.6189156924
48, 0x0003ccdc41278ff426fe321565edc2441c7fd284523cd0c66fd809b9e428bd28, 1701149106512, 1701149106534, 0.2012361744
49, 0x0000b8ba155556b06bc343db49c98068be7834e679ac9e85e608cca9ff602dd1, 1701149110646, 1701149110862, 2.5980750561
50, 0x000074601ca2b79fe3461a6d4d7e3b5f227c1ec7ab698fead87a72383623aade, 1701149114810, 1701149115136, 3.2646823454
